user_id,role,tenure_band,team_id,region,is_synthetic
user_1,manager,0-6m,team_1,APAC,true
user_2,senior_agent,6-12m,team_2,NA,true
user_3,manager,0-6m,team_5,NA,true
user_4,manager,3y+,team_1,NA,true
user_5,agent,6-12m,team_2,APAC,true
user_6,manager,0-6m,team_5,NA,true
user_7,manager,3y+,team_2,EU,true
user_8,manager,1-3y,team_1,NA,true
user_9,manager,3y+,team_3,EU,true
user_10,agent,6-12m,team_3,NA,true
user_11,agent,3y+,team_1,EU,true
user_12,senior_agent,1-3y,team_1,APAC,true
user_13,senior_agent,0-6m,team_4,NA,true
user_14,manager,1-3y,team_5,EU,true
user_15,manager,6-12m,team_1,NA,true
user_16,manager,6-12m,team_3,NA,true
user_17,agent,0-6m,team_4,EU,true
user_18,senior_agent,1-3y,team_2,EU,true
user_19,senior_agent,6-12m,team_3,APAC,true
user_20,manager,0-6m,team_5,APAC,true
user_21,agent,6-12m,team_2,EU,true
user_22,senior_agent,1-3y,team_5,NA,true
user_23,manager,1-3y,team_1,NA,true
user_24,agent,1-3y,team_4,EU,true
user_25,agent,6-12m,team_5,APAC,true
user_26,senior_agent,6-12m,team_4,EU,true
user_27,manager,3y+,team_2,EU,true
user_28,agent,6-12m,team_5,APAC,true
user_29,senior_agent,3y+,team_5,EU,true
user_30,senior_agent,6-12m,team_2,APAC,true
user_31,senior_agent,0-6m,team_1,NA,true
user_32,agent,6-12m,team_4,APAC,true
user_33,agent,3y+,team_4,APAC,true
user_34,senior_agent,1-3y,team_5,NA,true
user_35,manager,0-6m,team_5,EU,true
user_36,manager,1-3y,team_1,EU,true
user_37,senior_agent,6-12m,team_4,NA,true
user_38,manager,1-3y,team_5,NA,true
user_39,manager,0-6m,team_3,APAC,true
user_40,manager,6-12m,team_2,EU,true
user_41,agent,0-6m,team_5,EU,true
user_42,senior_agent,0-6m,team_1,EU,true
user_43,senior_agent,6-12m,team_1,NA,true
user_44,manager,0-6m,team_1,APAC,true
user_45,senior_agent,0-6m,team_5,NA,true
user_46,agent,3y+,team_5,NA,true
user_47,senior_agent,3y+,team_2,APAC,true
user_48,manager,6-12m,team_3,EU,true
user_49,manager,1-3y,team_4,APAC,true
user_50,senior_agent,0-6m,team_2,NA,true
