request_id,user_id,task_id,session_id,task_type,model_version,prompt_template_id,treatment_arm,response_tokens,latency_ms,action_type,outcome_quality_score,created_at
task_1_req_0,user_3,task_1,session_1,summarisation,gpt-x.y,triage_v1,explanation,174,345,edit,0.526,2025-01-05T00:09:00
task_2_req_0,user_31,task_2,session_2,summarisation,gpt-x.y,triage_v1,explanation,160,589,accept,0.534,2025-01-09T00:04:00
task_2_req_1,user_23,task_2,session_2,summarisation,gpt-x.y,triage_v1,explanation,63,1041,escalate,0.534,2025-01-09T00:32:00
task_2_req_2,user_44,task_2,session_2,drafting,gpt-x.y,triage_v1,control,77,324,escalate,0.534,2025-01-09T00:56:00
task_2_req_3,user_16,task_2,session_2,drafting,gpt-x.y,triage_v1,control,96,589,escalate,0.534,2025-01-09T01:01:00
task_3_req_0,user_36,task_3,session_3,triage,gpt-x.y,triage_v1,control,92,303,accept,0.644,2025-01-16T00:03:00
task_4_req_0,user_4,task_4,session_4,drafting,gpt-x.y,triage_v1,control,166,976,accept,0.876,2025-01-31T00:13:00
task_4_req_1,user_19,task_4,session_4,triage,gpt-x.y,triage_v1,explanation,125,1338,escalate,0.876,2025-01-31T00:18:00
task_5_req_0,user_4,task_5,session_5,summarisation,gpt-x.y,triage_v1,control,90,1396,escalate,0.811,2025-02-07T00:17:00
task_6_req_0,user_5,task_6,session_6,summarisation,gpt-x.y,triage_v1,control,113,1026,accept,0.438,2025-01-06T00:29:00
task_6_req_1,user_38,task_6,session_6,summarisation,gpt-x.y,triage_v1,control,199,1468,accept,0.438,2025-01-06T00:43:00
task_7_req_0,user_46,task_7,session_7,triage,gpt-x.y,triage_v1,explanation,126,688,ignore,0.512,2025-01-21T00:13:00
task_7_req_1,user_30,task_7,session_7,summarisation,gpt-x.y,triage_v1,explanation,194,348,accept,0.512,2025-01-21T00:28:00
task_7_req_2,user_7,task_7,session_7,drafting,gpt-x.y,triage_v1,control,83,1301,edit,0.512,2025-01-21T00:45:00
task_8_req_0,user_11,task_8,session_8,summarisation,gpt-x.y,triage_v1,explanation,185,1312,ignore,0.603,2025-02-26T00:20:00
task_8_req_1,user_1,task_8,session_8,triage,gpt-x.y,triage_v1,explanation,77,412,edit,0.603,2025-02-26T00:29:00
task_9_req_0,user_14,task_9,session_9,drafting,gpt-x.y,triage_v1,explanation,114,616,ignore,0.555,2025-01-10T00:17:00
