task_id,period_start,period_end,first_ai_request_at,resolution_at,num_ai_calls,num_escalations,resolution_time_sec,outcome_quality_score
task_1,2025-01-05,2025-01-05,2025-01-05T00:00:00,2025-01-05T00:27:00,1,0,1620,0.526
task_2,2025-01-09,2025-01-09,2025-01-09T00:00:00,2025-01-09T01:23:00,4,3,4980,0.534
task_3,2025-01-16,2025-01-16,2025-01-16T00:00:00,2025-01-16T00:34:00,1,0,2040,0.644
task_4,2025-01-31,2025-01-31,2025-01-31T00:00:00,2025-01-31T00:36:00,2,1,2160,0.876
task_5,2025-02-07,2025-02-07,2025-02-07T00:00:00,2025-02-07T00:25:00,1,1,1500,0.811
task_6,2025-01-06,2025-01-06,2025-01-06T00:00:00,2025-01-06T01:24:00,2,0,5040,0.438
task_7,2025-01-21,2025-01-21,2025-01-21T00:00:00,2025-01-21T01:12:00,3,0,4320,0.512
task_8,2025-02-26,2025-02-26,2025-02-26T00:00:00,2025-02-26T01:21:00,2,0,4860,0.603
task_9,2025-01-10,2025-01-10,2025-01-10T00:00:00,2025-01-10T01:30:00,3,1,5400,0.555
task_10,2025-01-28,2025-01-28,2025-01-28T00:00:00,2025-01-28T01:07:00,1,0,4020,0.462
task_11,2025-01-28,2025-01-28,2025-01-28T00:00:00,2025-01-28T01:48:00,2,0,6480,0.423
task_12,2025-02-26,2025-02-26,2025-02-26T00:00:00,2025-02-26T01:20:00,4,0,4800,0.414
task_13,2025-02-23,2025-02-23,2025-02-23T00:00:00,2025-02-23T01:00:00,3,0,3600,0.917
task_14,2025-01-05,2025-01-05,2025-01-05T00:00:00,2025-01-05T01:06:00,3,0,3960,0.743
task_15,2025-01-14,2025-01-14,2025-01-14T00:00:00,2025-01-14T01:42:00,4,2,6120,0.832
task_16,2025-02-06,2025-02-06,2025-02-06T00:00:00,2025-02-06T00:45:00,2,0,2700,0.795
task_17,2025-02-05,2025-02-05,2025-02-05T00:00:00,2025-02-05T01:04:00,2,2,3840,0.905
task_18,2025-02-25,2025-02-25,2025-02-25T00:00:00,2025-02-25T01:26:00,4,2,5160,0.648
task_19,2025-01-04,2025-01-04,2025-01-04T00:00:00,2025-01-04T01:04:00,2,1,3840,0.858
task_20,2025-01-02,2025-01-02,2025-01-02T00:00:00,2025-01-02T02:00:00,4,1,7200,0.585
task_21,2025-01-17,2025-01-17,2025-01-17T00:00:00,2025-01-17T01:14:00,1,0,4440,0.659
task_22,2025-03-02,2025-03-02,2025-03-02T00:00:00,2025-03-02T01:24:00,2,0,5040,0.510
task_23,2025-02-17,2025-02-17,2025-02-17T00:00:00,2025-02-17T01:18:00,1,0,4680,0.828
task_24,2025-01-26,2025-01-26,2025-01-26T00:00:00,2025-01-26T01:27:00,2,1,5220,0.442
task_25,2025-01-22,2025-01-22,2025-01-22T00:00:00,2025-01-22T00:53:00,1,0,3180,0.867
task_26,2025-02-16,2025-02-16,2025-02-16T00:00:00,2025-02-16T02:06:00,3,2,7560,0.739
task_27,2025-01-12,2025-01-12,2025-01-12T00:00:00,2025-01-12T01:38:00,4,2,5880,0.517
task_28,2025-02-05,2025-02-05,2025-02-05T00:00:00,2025-02-05T01:28:00,3,1,5280,0.634
task_29,2025-02-18,2025-02-18,2025-02-18T00:00:00,2025-02-18T00:59:00,3,0,3540,0.939
task_30,2025-01-31,2025-01-31,2025-01-31T00:00:00,2025-01-31T01:24:00,4,1,5040,0.587
task_31,2025-02-09,2025-02-09,2025-02-09T00:00:00,2025-02-09T00:24:00,1,0,1440,0.735
task_32,2025-01-12,2025-01-12,2025-01-12T00:00:00,2025-01-12T00:33:00,1,1,1980,0.486
task_33,2025-01-19,2025-01-19,2025-01-19T00:00:00,2025-01-19T01:19:00,4,1,4740,0.439
task_34,2025-01-21,2025-01-21,2025-01-21T00:00:00,2025-01-21T01:54:00,3,1,6840,0.414
task_35,2025-01-22,2025-01-22,2025-01-22T00:00:00,2025-01-22T01:37:00,4,2,5820,0.782
task_36,2025-01-09,2025-01-09,2025-01-09T00:00:00,2025-01-09T01:50:00,3,0,6600,0.641
task_37,2025-02-02,2025-02-02,2025-02-02T00:00:00,2025-02-02T01:49:00,3,1,6540,0.629
task_38,2025-02-01,2025-02-01,2025-02-01T00:00:00,2025-02-01T00:48:00,2,2,2880,0.646
task_39,2025-01-31,2025-01-31,2025-01-31T00:00:00,2025-01-31T01:29:00,4,2,5340,0.612
task_40,2025-02-10,2025-02-10,2025-02-10T00:00:00,2025-02-10T01:07:00,4,1,4020,0.880
task_41,2025-01-06,2025-01-06,2025-01-06T00:00:00,2025-01-06T01:14:00,4,1,4440,0.741
task_42,2025-01-25,2025-01-25,2025-01-25T00:00:00,2025-01-25T01:41:00,3,2,6060,0.716
task_43,2025-02-27,2025-02-27,2025-02-27T00:00:00,2025-02-27T00:47:00,1,0,2820,0.570
task_44,2025-02-17,2025-02-17,2025-02-17T00:00:00,2025-02-17T01:49:00,4,0,6540,0.497
task_45,2025-02-22,2025-02-22,2025-02-22T00:00:00,2025-02-22T01:27:00,3,0,5220,0.460
task_46,2025-01-09,2025-01-09,2025-01-09T00:00:00,2025-01-09T02:04:00,4,1,7440,0.650
task_47,2025-01-06,2025-01-06,2025-01-06T00:00:00,2025-01-06T00:53:00,2,0,3180,0.753
task_48,2025-01-10,2025-01-10,2025-01-10T00:00:00,2025-01-10T01:13:00,1,0,4380,0.553
task_49,2025-01-09,2025-01-09,2025-01-09T00:00:00,2025-01-09T01:01:00,1,0,3660,0.597
task_50,2025-02-03,2025-02-03,2025-02-03T00:00:00,2025-02-03T00:59:00,1,0,3540,0.810
task_51,2025-02-16,2025-02-16,2025-02-16T00:00:00,2025-02-16T01:01:00,3,1,3660,0.652
task_52,2025-02-02,2025-02-02,2025-02-02T00:00:00,2025-02-02T01:50:00,4,1,6600,0.455
task_53,2025-02-05,2025-02-05,2025-02-05T00:00:00,2025-02-05T01:12:00,1,1,4320,0.723
task_54,2025-01-04,2025-01-04,2025-01-04T00:00:00,2025-01-04T00:35:00,3,0,2100,0.730
task_55,2025-01-18,2025-01-18,2025-01-18T00:00:00,2025-01-18T00:57:00,3,1,3420,0.907
task_56,2025-01-21,2025-01-21,2025-01-21T00:00:00,2025-01-21T00:55:00,1,0,3300,0.886
task_57,2025-01-28,2025-01-28,2025-01-28T00:00:00,2025-01-28T01:20:00,4,0,4800,0.734
task_58,2025-01-12,2025-01-12,2025-01-12T00:00:00,2025-01-12T01:03:00,2,0,3780,0.609
task_59,2025-01-26,2025-01-26,2025-01-26T00:00:00,2025-01-26T02:02:00,4,1,7320,0.559
task_60,2025-01-13,2025-01-13,2025-01-13T00:00:00,2025-01-13T01:12:00,3,0,4320,0.593
task_61,2025-01-05,2025-01-05,2025-01-05T00:00:00,2025-01-05T01:17:00,4,1,4620,0.643
task_62,2025-01-04,2025-01-04,2025-01-04T00:00:00,2025-01-04T01:34:00,4,1,5640,0.457
task_63,2025-02-07,2025-02-07,2025-02-07T00:00:00,2025-02-07T01:08:00,2,0,4080,0.904
task_64,2025-01-02,2025-01-02,2025-01-02T00:00:00,2025-01-02T01:27:00,3,0,5220,0.570
task_65,2025-01-03,2025-01-03,2025-01-03T00:00:00,2025-01-03T02:45:00,4,1,9900,0.600
task_66,2025-01-04,2025-01-04,2025-01-04T00:00:00,2025-01-04T01:00:00,4,1,3600,0.881
task_67,2025-03-01,2025-03-01,2025-03-01T00:00:00,2025-03-01T00:51:00,1,0,3060,0.862
task_68,2025-02-18,2025-02-18,2025-02-18T00:00:00,2025-02-18T01:13:00,4,1,4380,0.647
task_69,2025-02-09,2025-02-09,2025-02-09T00:00:00,2025-02-09T00:51:00,3,1,3060,0.532
task_70,2025-02-12,2025-02-12,2025-02-12T00:00:00,2025-02-12T01:09:00,1,0,4140,0.824
task_71,2025-01-12,2025-01-12,2025-01-12T00:00:00,2025-01-12T01:42:00,4,1,6120,0.939
task_72,2025-02-17,2025-02-17,2025-02-17T00:00:00,2025-02-17T01:02:00,4,3,3720,0.892
task_73,2025-01-03,2025-01-03,2025-01-03T00:00:00,2025-01-03T01:43:00,3,0,6180,0.738
task_74,2025-03-02,2025-03-02,2025-03-02T00:00:00,2025-03-02T00:28:00,1,0,1680,0.733
task_75,2025-01-24,2025-01-24,2025-01-24T00:00:00,2025-01-24T01:50:00,4,0,6600,0.573
task_76,2025-02-15,2025-02-15,2025-02-15T00:00:00,2025-02-15T00:45:00,1,0,2700,0.702
task_77,2025-01-13,2025-01-13,2025-01-13T00:00:00,2025-01-13T01:06:00,2,0,3960,0.530
task_78,2025-02-19,2025-02-19,2025-02-19T00:00:00,2025-02-19T01:35:00,4,0,5700,0.853
task_79,2025-02-05,2025-02-05,2025-02-05T00:00:00,2025-02-05T01:42:00,3,1,6120,0.469
task_80,2025-02-04,2025-02-04,2025-02-04T00:00:00,2025-02-04T01:26:00,3,2,5160,0.753
task_81,2025-01-26,2025-01-26,2025-01-26T00:00:00,2025-01-26T01:17:00,2,0,4620,0.818
task_82,2025-01-27,2025-01-27,2025-01-27T00:00:00,2025-01-27T00:53:00,2,0,3180,0.929
task_83,2025-01-30,2025-01-30,2025-01-30T00:00:00,2025-01-30T01:14:00,2,1,4440,0.518
task_84,2025-01-24,2025-01-24,2025-01-24T00:00:00,2025-01-24T00:36:00,1,0,2160,0.620
task_85,2025-02-05,2025-02-05,2025-02-05T00:00:00,2025-02-05T01:34:00,3,0,5640,0.854
task_86,2025-02-03,2025-02-03,2025-02-03T00:00:00,2025-02-03T01:57:00,4,1,7020,0.482
task_87,2025-02-07,2025-02-07,2025-02-07T00:00:00,2025-02-07T00:34:00,2,1,2040,0.797
task_88,2025-02-14,2025-02-14,2025-02-14T00:00:00,2025-02-14T01:07:00,2,1,4020,0.626
task_89,2025-02-04,2025-02-04,2025-02-04T00:00:00,2025-02-04T01:07:00,3,2,4020,0.772
task_90,2025-02-06,2025-02-06,2025-02-06T00:00:00,2025-02-06T01:01:00,4,1,3660,0.893
task_91,2025-01-22,2025-01-22,2025-01-22T00:00:00,2025-01-22T01:25:00,4,0,5100,0.455
task_92,2025-02-25,2025-02-25,2025-02-25T00:00:00,2025-02-25T01:54:00,3,1,6840,0.882
task_93,2025-02-20,2025-02-20,2025-02-20T00:00:00,2025-02-20T01:39:00,3,1,5940,0.712
task_94,2025-01-22,2025-01-22,2025-01-22T00:00:00,2025-01-22T01:00:00,3,0,3600,0.720
task_95,2025-01-31,2025-01-31,2025-01-31T00:00:00,2025-01-31T01:32:00,2,1,5520,0.650
task_96,2025-01-05,2025-01-05,2025-01-05T00:00:00,2025-01-05T00:39:00,1,0,2340,0.434
task_97,2025-02-13,2025-02-13,2025-02-13T00:00:00,2025-02-13T01:35:00,2,1,5700,0.794
task_98,2025-01-26,2025-01-26,2025-01-26T00:00:00,2025-01-26T01:25:00,3,0,5100,0.849
